fundISINCode,managerID,managerName,managerStartDate,managerEndDate,reportDate
"HK0000161320","99021","何旻","2021-07-15","","2022-01-07"
"HK0000181096","169350","Not Disclosed","2014-03-03","","2022-01-07"
"HK0000181112","169350","Not Disclosed","2014-03-03","","2022-01-07"
"HK0000181138","169350","Not Disclosed","2014-03-03","","2022-01-07"
"HK0000216926","109353","Denis Gould","2014-11-21","","2022-01-07"
"HK0000216942","109353","Denis Gould","2014-11-21","","2022-01-07"
"HK0000252152","169350","Not Disclosed","2015-10-23","","2022-01-07"
"HK0000252160","169350","Not Disclosed","2015-10-23","","2022-01-07"
"HK0000264884","115724","苏俊祺","2004-01-01","","2022-01-07"
"HK0000283223","169350","Not Disclosed","2016-03-21","","2022-01-07"
"HK0000283249","169350","Not Disclosed","2016-03-21","","2022-01-07"
"HK0000284007","169350","Not Disclosed","2016-05-09","","2022-01-07"
"HK0000284015","169350","Not Disclosed","2016-05-09","","2022-01-07"
"HK0000294535","197543","Patrick Song","2018-02-05","","2022-01-07"
